"state","pizza_joint","website"
"Alabama","Davenport's Pizza Palace","https://davenportspizza.com/"
"Alaska","Moose's Tooth Pub & Pizzeria",""
"Arizona","Federal Pizza",""
"Arkansas","U.S. Pizza Company",""
"California","Pitfire Pizza",""
"Colorado","Slice Works",""
"Connecticut","Zuppardi's Apizza",""
"Delaware","Wood Fired Pizza Shop",""
"Florida","Andiamo Brick Oven Pizza",""
"Georgia","Antico Pizza Napoletana",""
"Hawaii","James Angelo's Underground Pizza",""
"Idaho","Guido's Original N.Y. Style Pizzeria",""
"Illinois","Chicago Pizza & Oven Grinder Co.",""
"Indiana","Jockamo Upper Crust Pizza",""
"Iowa","Zipp's Pizzaria",""
"Kansas","AJ's NY Pizzeria",""
"Kentucky","Miguel's Pizza",""
"Louisiana","Dean-O's Pizza",""
"Maine","Pizza By Alex",""
"Maryland","Matthew's Pizza",""
"Massachusetts","Regina Pizzeria",""
"Michigan","PizzaPapalis",""
"Minnesota","Mama's Pizza",""
"Mississippi","Pop's Pizzeria",""
"Missouri","Waldo Pizza",""
"Montana","Biga Pizza",""
"Nebraska","Isles Pub & Pizza",""
"Nevada","Naked City Pizza Shop",""
"New Hampshire","Tilton House of Pizza",""
"New Jersey","Razza Pizza Artigianale",""
"New Mexico","Trail Rider Pizza",""
"New York","Di Fara Pizza",""
"North Carolina","Blue Mountain Pizza",""
"North Dakota","A&B Pizza",""
"Ohio","Pizza Whirl",""
"Oklahoma","Empire Slice House",""
"Oregon","Apizza Scholls",""
"Pennsylvania","Fiori's Pizzaria",""
"Rhode Island","Fellini Pizzeria",""
"South Carolina","Pizza Kovachi",""
"South Dakota","Lintz Bros Pizza",""
"Tennessee","Tennessee Pizza Company",""
"Texas","Home Slice Pizza",""
"Utah","Rusted Sun Pizzeria",""
"Vermont","Piecasso Pizzeria & Lounge",""
"Virginia","Pupatella",""
"Washington","Proletariat Pizza",""
"West Virginia","Vito's Pizza",""
"Wisconsin","Dells Pizza Lab",""
"Wyoming","Grandpa's Downtown Pizzeria",""